#Machine :  PC-Vincent
#CPU : Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz
#Date début : 20191006_200151
#Limite de unlimited secondes par test
#
Taille des fichiers source :
  115   483  3746 empire.cpp
   76   420  2825 point.cpp
   81   342  2524 polygone.cpp
  145   501  3663 tp1.cpp
   54   255  1977 empire.h
   40   160  1181 point.h
   38   141  1099 polygone.h
  197   751  5798 tableau.h
  746  3053 22813 total
#
Carte    	Taille	Args	Superficie	Opt?	CPU	Mém.(k)
carte00.txt	3	1	125	OK	0.00	1424k
carte00.txt	3	2	225	OK	0.00	1436k
carte00.txt	3	2-100	225	OK	0.00	1436k
carte00.txt	3	2-50	225	OK	0.00	1436k
carte00.txt	3	2-10	150	OK	0.00	1436k
carte00.txt	3	2-1	125	OK	0.00	1436k
carte00.txt	3	3	275	OK	0.00	1448k
carte01.txt	3	1	125	OK	0.00	1428k
carte01.txt	3	2	170	OK	0.00	1432k
carte01.txt	3	2-1	165	OK	0.00	1436k
carte02.txt	26	1	46010	OK	0.00	1432k
carte02.txt	26	2	64460	OK	0.00	1444k
carte02.txt	26	2-500	62840	OK	0.00	1444k
carte02.txt	26	2-10	53553	Echec	0.01	1440k
carte02.txt	26	3	81290	OK	0.12	1476k
carte02.txt	26	3-100	70383	Echec	0.04	1464k
carte02.txt	26	4-200	83684	Echec	0.53	1472k
carte02.txt	26	5-200	100514	Echec	5.14	1480k
carte03.txt	20	1	6560	OK	0.00	1548k
carte03.txt	20	2	13120	OK	2.21	1560k
carte03.txt	20	2-500	13120	OK	1.95	1560k
carte03.txt	20	2-10	6560	OK	2.00	1560k
