#Machine :  PC-Vincent
#CPU : Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz
#Date début : 20191006_211102
#Limite de unlimited secondes par test
#
Taille des fichiers source :
  120   541  4105 empire.cpp
   76   420  2825 point.cpp
   85   348  2592 polygone.cpp
  135   603  4251 tp1.cpp
   54   255  1977 empire.h
   40   160  1181 point.h
   44   147  1163 polygone.h
  197   751  5798 tableau.h
  751  3225 23892 total
#
Carte    	Taille	Args	Superficie	Opt?	CPU	Mém.(k)
carte00.txt	3	1	125	OK	0.00	1424k
carte00.txt	3	2	225	OK	0.00	1432k
carte00.txt	3	2-100	225	OK	0.00	1436k
carte00.txt	3	2-50	225	OK	0.00	1436k
carte00.txt	3	2-10	150	OK	0.00	1436k
carte00.txt	3	2-1	125	OK	0.01	1436k
carte00.txt	3	3	275	OK	0.00	1452k
carte01.txt	3	1	125	OK	0.00	1428k
carte01.txt	3	2	170	OK	0.00	1432k
carte01.txt	3	2-1	165	OK	0.00	1436k
carte02.txt	26	1	46010	OK	0.00	1436k
carte02.txt	26	2	64460	OK	0.00	1440k
carte02.txt	26	2-500	62840	OK	0.01	1444k
carte02.txt	26	2-10	53553	Echec	0.01	1440k
carte02.txt	26	3	81290	OK	0.12	1476k
carte02.txt	26	3-100	70383	Echec	0.01	1464k
carte02.txt	26	4-200	83684	Echec	0.37	1476k
carte02.txt	26	5-200	100514	Echec	3.93	1484k
carte03.txt	20	1	6560	OK	0.00	1548k
carte03.txt	20	2	13120	OK	0.73	1560k
carte03.txt	20	2-500	13120	OK	0.79	1560k
carte03.txt	20	2-10	6560	OK	0.81	1556k
carte03.txt	20	3	19680	OK	11.70	1768k
carte03.txt	20	3-100	6560	OK	0.78	1608k
carte03.txt	20	4-200	26240	OK	2.79	1712k
carte03.txt	20	5-200	32800	OK	3.43	1760k
carte04.txt	10	1	1.002e+06	OK	0.01	1980k
carte04.txt	10	2-500	1.002e+06	OK	29.64	1992k
carte05.txt	50	1	1.6008e+07	OK	0.23	9984k
